gene,human_disease_association
TNK1,"Uterine fibroid, Hypothyroidism, Vascular disease, Autoimmune thyroiditis"
TNKS,Epilepsy
TNNC1,"Mood disorder, Hodgkin's lymphoma"
TNNI2,"Inflammatory bowel disease, Hypertension, Breast carcinoma, Ulcerative colitis"
TNNI3,Systemic lupus erythematosus
TNNI3K,Attention deficit hyperactivity disorder
TNNT1,Systemic lupus erythematosus
TNNT3,"Inflammatory bowel disease, Hypertension, Breast carcinoma, Ulcerative colitis"
TNP1,Hypothyroidism
TNP2,"Inflammatory bowel disease, Leprosy, Celiac disease, Primary biliary cholangitis, Nasal cavity disease, Allergic rhinitis, Crohn's disease, Psoriasis"
TNPO1,"Chronic obstructive pulmonary disease, Acne"
TNPO2,Pulmonary emphysema
TNPO3,"Inflammatory bowel disease, Primary biliary cholangitis, Sjogren's syndrome, Systemic scleroderma, Myositis, Rheumatoid arthritis, Ulcerative colitis, Systemic lupus erythematosus"
TNR,"Kuhnt-Junius degeneration, Attention deficit hyperactivity disorder"
TNRC6A,"Attention deficit hyperactivity disorder, Abdominal obesity-metabolic syndrome 1"
TNRC6B,"Cholelithiasis, Prostate carcinoma, Uterine fibroid"
TNS1,"Heart disease, Chronic obstructive pulmonary disease, Myocardial infarction"
TNS3,"Prostate carcinoma, Basal cell carcinoma, Colorectal cancer"
TNXB,"Autism spectrum disorder, non-alcoholic fatty liver disease, Age related macular degeneration, Kuhnt-Junius degeneration, Membranous glomerulonephritis, Sarcoidosis, Heart disease, Cancer, Hepatitis B, Endometriosis, Chronic obstructive pulmonary disease, Atopic dermatitis, Lung carcinoma, Lung squamous cell carcinoma, Cervical cancer, Autoimmune thyroiditis, Ulcerative colitis, Neuromyelitis optica, Psoriatic arthritis, Systemic lupus erythematosus"
TOB2,"Vitiligo, Allergic rhinitis, Crohn's disease"
TOLLIP,Idiopathic pulmonary fibrosis
TOM1,"Ulcerative colitis, Multiple myeloma"
TOM1L1,Breast carcinoma
TOM1L2,"Autism spectrum disorder, Attention deficit hyperactivity disorder, Myocardial infarction"
TOMM20L,"Attention deficit hyperactivity disorder, Heart disease, Vascular disease"
TOMM22,Prostate carcinoma
TOMM34,"Endogenous depression, Bipolar disorder"
TOMM40,"non-alcoholic fatty liver disease, Alzheimer's disease, Age related macular degeneration, Kuhnt-Junius degeneration, Heart disease, Lewy body dementia, Abdominal obesity-metabolic syndrome 1, Myocardial infarction, Cerebrovascular disease, Abdominal aortic aneurysm, Vascular dementia"
TOMM40L,Allergic rhinitis
TOMM6,Colorectal cancer
TOMM7,"Peripheral artery disease, Aortic valve stenosis, Takayasu's arteritis, Juvenile rheumatoid arthritis"
TOP1,Heart disease
TOP2B,"open-angle glaucoma, Chronic obstructive pulmonary disease"
TOP3A,Attention deficit hyperactivity disorder
TOR1A,Prostate carcinoma
TOR1B,Prostate carcinoma
TOR4A,Endogenous depression
TOX,Attention deficit hyperactivity disorder
TOX2,"Colorectal adenoma, Colorectal cancer"
TOX3,"Restless legs syndrome, estrogen-receptor negative breast cancer, Polycystic ovary syndrome, Male breast cancer, Breast carcinoma, Herpes zoster"
TP53,"triple-receptor negative breast cancer, Brain glioma, Uterine fibroid, Abdominal obesity-metabolic syndrome 1, Melanoma, Basal cell carcinoma, IgA glomerulonephritis, Glioblastoma, Esophagus squamous cell carcinoma, Neuroblastoma, Skin melanoma"
TP53AIP1,"Atrial fibrillation, Intracranial aneurysm"
TP53I13,Heart disease
TP53I3,Endogenous depression
TP53INP1,"non-alcoholic fatty liver disease, Neuropathy"
TP53INP2,"Heart disease, Vascular disease, Melanoma, Skin carcinoma"
TP53RK,Chronic kidney disease
TP63,"Squamous cell carcinoma, Lung carcinoma, Lung squamous cell carcinoma, Lung adenocarcinoma, Pancreatic carcinoma, Psoriasis, Cleft lip, Acute lymphoblastic leukemia"
TPCN2,"Prostate carcinoma, Breast carcinoma, Ovarian carcinoma"
TPD52,Rheumatoid arthritis
TPD52L2,"Marginal zone B-cell lymphoma, Abdominal aortic aneurysm"
TPGS2,"Attention deficit hyperactivity disorder, Dilated cardiomyopathy"
TPI1,Colorectal cancer
TPK1,"Prostate carcinoma, Breast carcinoma, Ovarian carcinoma"
TPM3,Attention deficit hyperactivity disorder
TPMT,Atrial fibrillation
TPO,"Hypothyroidism, Autoimmune thyroiditis"
TPPP,"Esophagus adenocarcinoma, Lung disease, Ulcerative colitis, Neuropathy, Barrett's esophagus"
TPRG1,"Lung carcinoma, Lung adenocarcinoma"
TPRX1,Gallbladder disease
TRABD,"Hypertension, Endogenous depression, Bipolar disorder, Skin melanoma"
TRAF1,"Allergic rhinitis, Rheumatoid arthritis"
TRAF3,"Attention deficit hyperactivity disorder, Allergic rhinitis"
TRAF3IP1,Chronic obstructive pulmonary disease
TRAF3IP2,"Inflammatory bowel disease, Attention deficit hyperactivity disorder, Skin disease, Ulcerative colitis, Crohn's disease, Psoriasis, Psoriatic arthritis"
TRAF3IP3,"Inflammatory bowel disease, Cleft lip"
TRAF6,Atopic dermatitis
TRAF7,"Atrial fibrillation, Dilated cardiomyopathy"
TRAFD1,"Esophageal carcinoma, Gout, Myocardial infarction, Colorectal cancer, Cleft lip"
TRAIP,"Attention deficit hyperactivity disorder, Endogenous depression, Endometriosis, Gastroesophageal reflux disease"
TRAK1,Multiple myeloma
TRAK2,"Esophageal carcinoma, Squamous cell carcinoma, Melanoma, Basal cell carcinoma, Breast carcinoma, Esophagus squamous cell carcinoma, Rheumatoid arthritis, Cocaine abuse, Skin melanoma"
TRAM2,Atopic dermatitis
TRANK1,"Autism spectrum disorder, Attention deficit hyperactivity disorder, Bipolar I disorder, Endogenous depression, Colorectal cancer"
TRAPPC1,"Prostate carcinoma, Attention deficit hyperactivity disorder"
TRAPPC10,"Inflammatory bowel disease, Ankylosing spondylitis, Ulcerative colitis, Crohn's disease"
TRAPPC3L,"Nephrotic syndrome, Ulcerative colitis"
TRAPPC4,Heart disease
TRAPPC6A,Heart disease
TRAT1,Autoimmune thyroiditis
TRDN,Attention deficit hyperactivity disorder
TREH,"Brain glioma, Sensorineural hearing loss, Celiac disease, Primary biliary cholangitis, Systemic scleroderma, Systemic lupus erythematosus"
TREM2,Alzheimer's disease
TREML1,Alzheimer's disease
TREML2,Alzheimer's disease
TREML4,Alzheimer's disease
TRHDE,Attention deficit hyperactivity disorder
TRIB1,"Disease of metabolism, Inflammatory bowel disease, non-alcoholic fatty liver disease, Heart disease, Polycystic ovary syndrome, Abdominal obesity-metabolic syndrome 1, Myocardial infarction, Abdominal aortic aneurysm, Crohn's disease"
TRIB2,"Hypothyroidism, Autoimmune thyroiditis"
TRIL,Sensorineural hearing loss
TRIM10,"Autism spectrum disorder, Prostate carcinoma, Attention deficit hyperactivity disorder, Endogenous depression, Chronic obstructive pulmonary disease, Bipolar disorder, Lung carcinoma, Lung squamous cell carcinoma, Cervical cancer, Head and neck squamous cell carcinoma, Hepatocellular carcinoma, Autoimmune thyroiditis, Psoriatic arthritis"
TRIM14,Primary biliary cholangitis
TRIM15,"Autism spectrum disorder, Prostate carcinoma, Attention deficit hyperactivity disorder, Endogenous depression, Chronic obstructive pulmonary disease, Bipolar disorder, Lung carcinoma, Lung squamous cell carcinoma, Cervical cancer, Hepatocellular carcinoma, Autoimmune thyroiditis, Psoriatic arthritis"
TRIM22,"Heart disease, Head and neck cancer"
TRIM25,"Inflammatory bowel disease, Crohn's disease"
TRIM26,"Autism spectrum disorder, Prostate carcinoma, Attention deficit hyperactivity disorder, Endogenous depression, Chronic obstructive pulmonary disease, Lung carcinoma, Lung squamous cell carcinoma, Hepatocellular carcinoma, Autoimmune thyroiditis, Psoriatic arthritis"
TRIM27,"Endogenous depression, Breast carcinoma, Lung carcinoma, Lung squamous cell carcinoma, Lung adenocarcinoma"
TRIM28,"Colorectal adenoma, Colorectal cancer"
TRIM31,"Autism spectrum disorder, Prostate carcinoma, Attention deficit hyperactivity disorder, Graves' disease, Endogenous depression, Chronic obstructive pulmonary disease, Bipolar disorder, Lung carcinoma, Lung squamous cell carcinoma, Cervical cancer, Allergic rhinitis, Head and neck squamous cell carcinoma, Hepatocellular carcinoma, Autoimmune thyroiditis, Psoriatic arthritis, Alopecia"
TRIM32,"Chronic obstructive pulmonary disease, Osteoarthritis"
TRIM34,Heart disease
TRIM35,Takayasu's arteritis
TRIM38,"Autism spectrum disorder, Idiopathic scoliosis, Hypertension, Lung carcinoma, Systemic lupus erythematosus"
TRIM39,"Cutaneous lupus erythematosus, Autism spectrum disorder, Attention deficit hyperactivity disorder, Endogenous depression, Lung carcinoma, Lung squamous cell carcinoma, Autoimmune thyroiditis, Psoriatic arthritis"
TRIM4,Interstitial lung disease
TRIM40,"Autism spectrum disorder, Prostate carcinoma, Attention deficit hyperactivity disorder, Endogenous depression, Chronic obstructive pulmonary disease, Bipolar disorder, Lung carcinoma, Lung squamous cell carcinoma, Cervical cancer, Allergic rhinitis, Head and neck squamous cell carcinoma, Hepatocellular carcinoma, Autoimmune thyroiditis, Psoriatic arthritis"
TRIM46,"non-alcoholic fatty liver disease, Intracranial aneurysm, Dental caries, Gastric adenocarcinoma, Crohn's disease"
TRIM5,"Heart disease, Head and neck cancer, Malaria, Myocardial infarction"
TRIM56,"Attention deficit hyperactivity disorder, Chronic kidney disease"
TRIM59,Disease of cellular proliferation
TRIM6,"Heart disease, Malaria"
TRIM60,Ovarian carcinoma
TRIM61,Ovarian carcinoma
TRIM71,Celiac disease
TRIM72,"Graves' disease, Systemic scleroderma, Autoimmune thyroiditis, Systemic lupus erythematosus"
TRIM77,Diabetic retinopathy
TRIM8,"Autism spectrum disorder, Prostate carcinoma, Endogenous depression, Bipolar disorder, Allergic rhinitis"
TRIM9,"Colorectal cancer, Acute lymphoblastic leukemia"
TRIML2,Testicular germ cell cancer
TRIOBP,Sensorineural hearing loss
TRIP10,"Age related macular degeneration, Kuhnt-Junius degeneration"
TRIP13,"Attention deficit hyperactivity disorder, Anorexia nervosa"
TRIP4,Endogenous depression
TRIP6,"Inflammatory bowel disease, Hypertension, Crohn's disease"
TRMT1,"Vascular disease, Bipolar disorder"
TRMT112,"Inflammatory bowel disease, Leprosy, Hypertension, Attention deficit hyperactivity disorder, Primary biliary cholangitis, Vitiligo, Sclerosing cholangitis, Basal cell carcinoma, Crohn's disease, Psoriasis, Alopecia areata"
TRMT12,Peripheral artery disease
TRMT44,"Neuroblastoma, Systemic lupus erythematosus"
TRMT6,Uterine fibroid
TRMT61A,"Autism spectrum disorder, Attention deficit hyperactivity disorder, Heart disease, Endogenous depression, Bipolar disorder"
TRMT61B,"estrogen-receptor negative breast cancer, Breast carcinoma"
TROAP,Prostate carcinoma
TRPA1,Skin melanoma
TRPC3,Psoriasis
TRPC4,Attention deficit hyperactivity disorder
TRPC4AP,"Heart disease, Congenital heart disease, Vascular disease, Melanoma, Basal cell carcinoma"
TRPC6,"Colorectal adenoma, Colorectal cancer"
TRPM2,"Intracranial aneurysm, Rheumatoid arthritis"
TRPM3,"Age related macular degeneration, Kuhnt-Junius degeneration, DOID:14313"
TRPM5,Systemic scleroderma
TRPM7,"Hypertension, Acne, Ankylosing spondylitis"
TRPS1,"Abdominal obesity-metabolic syndrome 1, Squamous cell carcinoma, Basal cell carcinoma, Breast carcinoma"
TRPT1,"Hypertension, Vitiligo"
TRPV6,Alcoholic pancreatitis
TSC1,Disease of cellular proliferation
TSC2,"Atrial fibrillation, Dilated cardiomyopathy"
TSC22D2,open-angle glaucoma
TSC22D4,"Age related macular degeneration, Kuhnt-Junius degeneration"
TSEN15,Osteoarthritis
TSEN2,non-alcoholic fatty liver disease
TSEN34,"Prostate carcinoma, Alcoholic liver cirrhosis, Takayasu's arteritis"
TSFM,Endogenous depression
TSGA10IP,"Inflammatory bowel disease, Basal cell carcinoma, Crohn's disease"
TSGA13,"Hypertension, Abdominal obesity-metabolic syndrome 1"
TSHB,Cerebrovascular disease
TSHR,"Graves' disease, Hypothyroidism"
TSHZ1,"Endometrial cancer, Colorectal cancer"
TSHZ2,"Attention deficit hyperactivity disorder, Allergic rhinitis"
TSHZ3,Attention deficit hyperactivity disorder
TSKS,"Vitiligo, Hypothyroidism, Basal cell carcinoma, Autoimmune thyroiditis"
TSKU,"Endometriosis, Gastroesophageal reflux disease"
TSLP,"Eosinophilic esophagitis, Nasal cavity disease, Asthma, Churg-Strauss syndrome, Allergic rhinitis"
TSNARE1,"Autism spectrum disorder, Bipolar disorder"
TSNAXIP1,Abdominal obesity-metabolic syndrome 1
TSPAN10,"Corneal disease, Age related macular degeneration, Kuhnt-Junius degeneration"
TSPAN14,"Inflammatory bowel disease, Heart disease, Chronic obstructive pulmonary disease, Crohn's disease"
TSPAN15,Vascular disease
TSPAN16,"Hypertension, Breast carcinoma"
TSPAN2,Cerebrovascular disease
TSPAN32,"Prostate carcinoma, Chronic lymphocytic leukemia, Systemic scleroderma"
TSPAN33,"Systemic scleroderma, Osteoarthritis, Systemic lupus erythematosus"
TSPAN4,"Chronic obstructive pulmonary disease, Bronchitis"
TSPEAR,Intracranial aneurysm
TSPO,Prostate carcinoma
TSPO2,"Alzheimer's disease, Stomach carcinoma"
TSPYL5,Basal cell carcinoma
TSR1,"Autism spectrum disorder, Attention deficit hyperactivity disorder, Esophageal carcinoma, Heart disease, Squamous cell carcinoma"
TSR2,Prostate carcinoma
TSSC4,"Chronic lymphocytic leukemia, Systemic scleroderma"
TSSK1B,Hypertension
TSSK4,Language disorder
TSSK6,"non-alcoholic fatty liver disease, Prostate carcinoma, Gilles de la Tourette syndrome, Alcoholic liver cirrhosis, Breast carcinoma, Ovarian carcinoma"
TST,Allergic rhinitis
TSTD2,"Intracranial aneurysm, Esophagus adenocarcinoma, Barrett's esophagus"
TTBK1,"Autism spectrum disorder, Sensorineural hearing loss"
TTBK2,Bipolar I disorder
TTC12,Endogenous depression
TTC13,Vascular disease
TTC21A,Abdominal obesity-metabolic syndrome 1
TTC21B,Epilepsy
TTC22,"Colorectal adenoma, Colorectal cancer"
TTC26,Primary biliary cholangitis
TTC27,Allergic rhinitis
TTC28,"non-alcoholic fatty liver disease, Prostate carcinoma, open-angle glaucoma, Attention deficit hyperactivity disorder, Esophageal carcinoma, Squamous cell carcinoma, Breast carcinoma, Lung carcinoma, Lung adenocarcinoma, Ovarian carcinoma, Stomach carcinoma"
TTC29,"Attention deficit hyperactivity disorder, Heart disease"
TTC33,"Inflammatory bowel disease, Allergic rhinitis, Stomach carcinoma, Gastric cardia carcinoma, Rheumatoid arthritis, Ulcerative colitis, Crohn's disease, Colorectal cancer"
TTC34,"Diffuse large B-cell lymphoma, Celiac disease, Primary biliary cholangitis, Sclerosing cholangitis, Hypothyroidism, Cervical cancer, Allergic rhinitis, Rheumatoid arthritis, Autoimmune thyroiditis, Ulcerative colitis"
TTC36,"Brain glioma, Sensorineural hearing loss, Celiac disease, Abdominal obesity-metabolic syndrome 1"
TTC39B,Gallbladder disease
TTC4,"Colorectal adenoma, Colorectal cancer"
TTC9,Prostate carcinoma
TTL,Attention deficit hyperactivity disorder
TTLL1,Prostate carcinoma
TTLL11,"Heart disease, Lung squamous cell carcinoma, Myocardial infarction"
TTLL12,Prostate carcinoma
TTLL4,Rheumatoid arthritis
TTLL5,"Marginal zone B-cell lymphoma, Carpal tunnel syndrome"
TTLL6,"Restless legs syndrome, Prostate carcinoma, Heart disease"
TTLL8,"Acne, Ulcerative colitis"
TTN,"Atrial fibrillation, Dilated cardiomyopathy"
TTPAL,"Gallbladder disease, Abdominal obesity-metabolic syndrome 1, Ulcerative colitis"
TTYH3,"Chronic obstructive pulmonary disease, Ulcerative colitis"
TUB,"Sensorineural hearing loss, Atopic dermatitis"
TUBA1A,Prostate carcinoma
TUBA1B,"Attention deficit hyperactivity disorder, Bipolar disorder"
TUBA1C,Prostate carcinoma
TUBA3C,Coronary aneurysm
TUBA8,Atrial fibrillation
TUBB,"Cutaneous lupus erythematosus, Autism spectrum disorder, Prostate carcinoma, Age related macular degeneration, Endogenous depression, Chronic obstructive pulmonary disease, Lung carcinoma, Cervical cancer, Autoimmune thyroiditis, Psoriatic arthritis, Colorectal cancer"
TUBD1,"Inflammatory bowel disease, Chronic lymphocytic leukemia, Crohn's disease"
TUBG1,Abdominal obesity-metabolic syndrome 1
TUBG2,Abdominal obesity-metabolic syndrome 1
TUBGCP6,"Hypertension, Endogenous depression, Bipolar disorder, Skin melanoma"
TUFM,"Inflammatory bowel disease, Bipolar disorder"
TULP1,"Colorectal adenoma, Autoimmune thyroiditis, Colorectal cancer"
TULP4,"open-angle glaucoma, Attention deficit hyperactivity disorder"
TVP23A,"Celiac disease, Nasopharyngeal disease"
TWF2,"Autism spectrum disorder, Bipolar disorder"
TWIST1,"Peripheral artery disease, Heart disease, Myocardial infarction, Cerebrovascular disease"
TWIST2,"Androgenic alopecia, Chronic obstructive pulmonary disease"
TWISTNB,Intracranial aneurysm
TXK,"Gout, Uterine fibroid, Rheumatoid arthritis"
TXNDC11,"Inflammatory bowel disease, Testicular germ cell cancer, Rheumatoid arthritis, Ulcerative colitis, Crohn's disease"
TXNDC8,Heart disease
TXNL4B,"Heart disease, Endogenous depression, Bipolar disorder"
TXNRD2,open-angle glaucoma
TYK2,"Inflammatory bowel disease, Primary biliary cholangitis, Hypothyroidism, Systemic scleroderma, Myositis, Juvenile rheumatoid arthritis, Ankylosing spondylitis, Autoimmune thyroiditis, Ulcerative colitis, Crohn's disease, Psoriasis, Systemic lupus erythematosus"
TYMP,"Diffuse large B-cell lymphoma, Sensorineural hearing loss, Chronic lymphocytic leukemia"
TYMS,Testicular germ cell cancer
TYR,"Autism spectrum disorder, Sensorineural hearing loss, Hypertension, Attention deficit hyperactivity disorder, Vitiligo, Endogenous depression, Cancer, Squamous cell carcinoma, Melanoma, Basal cell carcinoma, Endometriosis, Bipolar disorder, Skin melanoma, Diabetic retinopathy"
TYRO3,"Abdominal obesity-metabolic syndrome 1, Allergic rhinitis"
TYROBP,Nephrotic syndrome
TYRP1,"Squamous cell carcinoma, Skin melanoma"
TYW3,Attention deficit hyperactivity disorder
TYW5,"Autism spectrum disorder, Attention deficit hyperactivity disorder"
UAP1,Idiopathic scoliosis
UBA52,"Attention deficit hyperactivity disorder, Heart disease, Dental caries, Gastroesophageal reflux disease"
UBA7,"Attention deficit hyperactivity disorder, Endogenous depression, Endometriosis"
UBAC2,"Inflammatory bowel disease, Hypothyroidism, Basal cell carcinoma, Asthma, Crohn's disease"
